CID,REGION
EG-25680,Sharqia
EG-20250,Gharbia
EG-22069,El-Sharqia
EG-25794,El-Sharqia
EG-20363,Cairo
EG-26436,Giza
EG-20102,El-Sharqia
EG-24854,Dakahlia
EG-22705,Qalyubia
EG-23272,CAI
EG-26395,Monufia
EG-21681,Gharbia
EG-25511,Mansoura Gov
EG-26539,Sharqia
EG-25136,Qalyubia
EG-24612,El-Sharqia
EG-22439,Gharbia
EG-26605,Gharbia
EG-22144,Qalyoubia
EG-25825,Gharbia
EG-22716,Cairo
EG-21816,El-Sharqia
EG-21231,Dakahlia
EG-25348,Alex
EG-21288,ALX
EG-26646,Sharqia
EG-20709,Giza
EG-24042,Mansoura Gov
EG-26858,Qalyubia
EG-25420,Qalyubia
EG-24286,Qalyoubia
EG-22119,ALX
EG-20729,El-Sharqia
EG-22791,ALX
EG-20705,Qalyubia
EG-25335,CAI
EG-23299,Monufia
EG-23371,Alex
EG-26922,Alex
EG-20775,Sharqia
EG-26180,Qalyubia
EG-26543,
EG-24000,Giza
EG-26854,Alex
EG-22975,Monufia
EG-24665,Sharqia
EG-23521,GZ
EG-21539,Gharbia
EG-20696,Monufia
EG-25408,El-Sharqia
EG-21685,Alexandria
EG-23352,CAI
EG-26041,
EG-22250,Mansoura Gov
EG-21644,Sharqia
EG-25693,Monufia
EG-25381,CAI
EG-24750,GZ
EG-23246,Qalyubia
EG-25897,
EG-21516,Qalyubia
EG-20871,GZ
EG-25230,Mansoura Gov
EG-24966,Alex
EG-24034,
EG-23109,
EG-22152,Gharbia
EG-20431,Dakahlia
EG-21592,ALX
EG-24954,
EG-26548,ALX
EG-21888,Alex
EG-21198,Gharbia
EG-23830,Mansoura Gov
EG-25671,Qalyubia
EG-21028,Giza
EG-23615,Mansoura Gov
EG-25705,Gharbia
EG-25204,
EG-23065,Cairo
EG-26424,Monufia
EG-20542,Alex
EG-22325,Dakahlia
EG-25900,Mansoura Gov
EG-25906,
EG-21201,Gharbia
EG-20779,Monufia
EG-22084,Gharbia
EG-22694,Monufia
EG-22349,Qalyubia
EG-23604,Sharqia
EG-24270,Sharqia
EG-20524,Dakahlia
EG-23487,Mansoura Gov
EG-24327,Giza
EG-24852,Monufia
EG-26018,Alex
EG-23289,Alexandria
EG-25585,CAI
EG-22915,Alexandria
EG-22864,Qalyoubia
EG-21206,
EG-20321,Sharqia
EG-24402,GZ
EG-23226,Gharbia
EG-21461,CAI
EG-20302,
EG-23676,Sharqia
EG-23115,Dakahlia
EG-23551,El-Sharqia
EG-24709,Mansoura Gov
EG-26474,Alexandria
EG-22206,
EG-21100,Monufia
EG-20594,Sharqia
EG-23652,Mansoura Gov
EG-20245,Cairo
EG-20093,Mansoura Gov
EG-25493,Dakahlia
EG-20426,GZ
EG-20769,Gharbia
EG-26476,
EG-24457,Sharqia
EG-26454,Qalyubia
EG-24342,CAI
EG-24634,Dakahlia
EG-22244,Alex
EG-23782,cairo
EG-25760,Dakahlia
EG-26301,Sharqia
EG-26644,Gharbia
EG-22831,Alex
EG-23688,Gharbia
EG-24595,ALX
EG-23249,El-Sharqia
EG-21330,
EG-20516,Gharbia
EG-24145,Mansoura Gov
EG-25373,Gharbia
EG-20196,El-Sharqia
EG-24335,Mansoura Gov
EG-20893,Cairo
EG-26762,Dakahlia
EG-25246,Gharbia
EG-23349,Giza
EG-21954,CAI
EG-26199,CAI
EG-23218,El-Sharqia
EG-20306,Qalyoubia
EG-21402,Giza
EG-20054,Cairo
EG-24698,GZ
EG-25892,Qalyubia
EG-26948,Alexandria
EG-21025,Sharqia
EG-24496,CAI
EG-23461,Qalyoubia
EG-24537,Gharbia
EG-25488,GZ
