prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
501,COM_LAP-1001,Dell Laptop Ultra,44048,C,2022-10-13,
502,COM_LAP-1002,Apple Laptop Ultra,79482,C,2024-05-14,
503,MOB_TAB-1001,Samsung Tablet Pro,9664,M,2025-05-17,
504,MOB_SMP-1001,Realme Smartphone Lite,38713,M,2024-07-08,
505,COM_STR-1001,Samsung Storage (SSD/HDD) Lite,6419,C,2023-07-24,
506,COM_DSK-1001,HP Desktop Max,12698,C,2022-07-18,
507,GAM_ACC-1001,HyperX Gaming Accessorie,1383,G,2024-07-29,
508,ACC_CAS-1001,Generic Phone Case Plus,160,A,2025-07-11,
509,GAM_ACC-1002,Logitech Gaming Accessorie Ultra,,G,2023-04-12,
510,GAM_CON-1001,Sony Console Lite,23196,G,2023-07-24,
511,ACC_CHG-1001,Generic Charger Max,483,A,2023-03-06,
512,COM_STR-1002,Samsung Storage (SSD/HDD),5901,C,2023-05-17,
513,COM_MTB-1001,ASRock Motherboard Plus,6422,C,2025-08-03,
514,ACC_CAS-1002,Generic Phone Case Ultra,412,A,2022-04-25,
515,COM_GPU-1001,NVIDIA Graphics Card Max,31290,C,2023-03-09,
516,GAM_CTR-1001,Microsoft Controller Ultra,2944,G,2025-08-09,
517,ACC_CHG-1002,Anker Charger Max,435,A,2025-02-23,
518,ACC_CAS-1003,Spigen Phone Case Ultra,518,A,2024-03-28,
519,GAM_ACC-1003,Logitech Gaming Accessorie Lite,2387,G,2022-04-07,
520,COM_LAP-1003,HP Laptop Ultra,28969,C,2024-05-14,
521,MOB_SWA-1001,Huawei Smartwatche Plus,10563,M,2024-12-19,
522,COM_STR-1003,Adata Storage (SSD/HDD) Pro,6272,C,2025-01-04,
523,COM_STR-1004,WD Storage (SSD/HDD) Pro,3104,C,2024-07-18,
524,MOB_SMP-1002,Xiaomi Smartphone,14708,M,2022-08-06,
525,GAM_CON-1002,Nintendo Console,18977,G,2024-02-05,
526,COM_MTB-1002,ASUS Motherboard,7310,C,2022-08-18,
527,GAM_ACC-1004,HyperX Gaming Accessorie Lite,537,G,2025-03-07,
528,MOB_SWA-1002,Samsung Smartwatche Ultra,8762,M,2024-12-26,
529,COM_DSK-1002,HP Desktop Ultra,37148,C,2022-12-05,
530,COM_STR-1005,Adata Storage (SSD/HDD),4166,C,2025-01-09,
531,COM_RAM-1001,G.Skill RAM Module Plus,3251,C,2024-06-16,
532,ACC_PWB-1001,Xiaomi Power Bank Pro,1315,A,2023-11-24,
533,MOB_SMP-1003,Realme Smartphone,18080,M,2022-01-15,
534,MOB_SWA-1003,Samsung Smartwatche Lite,1904,M,2023-11-08,
535,MOB_SWA-1004,Apple Smartwatche Max,11760,M,2025-01-09,
536,COM_DSK-1003,Lenovo Desktop Lite,57420,C,2024-04-13,
537,COM_RAM-1002,Kingston RAM Module Pro,3199,C,2024-05-17,
538,DIS_TVS-1001,Sony Television Ultra,8550,D,2025-08-16,
539,COM_LAP-1004,Dell Laptop Plus,52473,C,2022-08-12,
540,COM_GPU-1002,AMD Graphics Card Lite,40146,C,2024-05-14,
541,COM_MTB-1003,Gigabyte Motherboard Plus,6092,C,2022-06-04,
542,ACC_CHG-1003,Generic Charger Pro,253,A,2025-01-12,
543,MOB_SMP-1004,Samsung Smartphone Lite,13899,M,2024-09-12,
544,COM_RAM-1003,Adata RAM Module Pro,1174,C,2024-03-10,
545,COM_STR-1006,Seagate Storage (SSD/HDD) Max,4165,C,2025-02-12,
546,ACC_CAB-1001,Anker Cable Lite,201,A,2022-04-30,
547,ACC_CAS-1004,Generic Phone Case Ultra,,A,2025-04-11,
548,ACC_CAB-1002,Generic Cable,,A,2024-11-06,
549,MOB_SWA-1005,Apple Smartwatche Pro,10549,M,2023-04-27,
550,DIS_MON-1001,Samsung Monitor,10567,D,2022-03-23,
551,MOB_SWA-1006,Huawei Smartwatche Ultra,10362,M,2023-10-10,
552,COM_STR-1007,Kingston Storage (SSD/HDD) Ultra,6567,C,2023-06-28,
553,DIS_MON-1002,LG Monitor Ultra,12330,D,2022-05-29,
554,MOB_SMP-1005,Oppo Smartphone,39896,M,2022-05-31,
555,ACC_CAS-1005,Generic Phone Case,351,A,2023-12-16,
