sls_ord_num,sls_prd_key,sls_cust_id,sls_store_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO60001,COM_RAM-1014,25056,7,20250524,20250603,20250608,2521,1,0
SO60001,MOB_SMP-1002,25056,7,20250524,20250603,20250608,15174,1,15174
SO60002,DIS_TVS-1012,22860,7,20230130,20230209,20230216,47496,1,47496
SO60002,COM_STR-1011,22860,7,20230130,20230209,20230216,7666,1,7666
SO60002,GAM_ACC-1013,22860,7,20230130,20230209,20230216,2786,2,1393
SO60003,COM_GPU-1003,24846,3,0,20230914,20230930,3153,3,1051
SO60003,GAM_CON-1008,24846,3,20230912,20230914,20230930,30438,2,15219
SO60004,GAM_CON-1003,23798,3,20230105,20230112,20230117,2961,3,987
SO60005,COM_RAM-1011,22743,2,20230313,20230318,20230402,1697,1,1697
SO60005,ACC_CAS-1006,22743,2,20230313,20230318,20230402,320,2,160
SO60006,DIS_MON-1007,22546,5,20250110,20250112,20250123,9548,1,9548
SO60006,COM_LAP-1002,22546,5,20250110,20250112,20250123,171628,2,85814
SO60006,DIS_TVS-1003,22546,5,20250110,20250112,20250123,12332,1,12332
SO60006,COM_DSK-1004,22546,5,20250110,20250112,20250123,24126,1,24126
SO60007,MOB_SMP-1005,26870,3,20250919,20250928,20251006,82778,2,41389
SO60008,GAM_CTR-1010,20814,3,20241007,20241013,20241019,2656,2,1328
SO60008,DIS_MON-1007,20814,3,20241007,20241013,20241019,25686,3,8562
SO60009,COM_GPU-1009,25014,2,20250720,20250728,20250809,37452,3,12484
SO60009,MOB_TAB-1003,25014,2,20250720,20250728,20250809,15303,1,15303
SO60010,GAM_CTR-1002,22833,7,20240510,20240514,20240523,4308,3,1436
SO60011,ACC_CAS-1014,24653,2,20240810,20240813,20240821,1048,2,0
SO60011,ACC_CAS-1005,24653,2,20240810,20240813,20240821,718,2,359
SO60011,COM_STR-1015,24653,2,20240810,20240813,20240821,2518,2,1259
SO60011,COM_DSK-1004,24653,2,20240810,20240813,20240821,67047,3,-22283
SO60012,MOB_TAB-1002,20778,2,20230708,20230717,20230725,17162,1,17162
SO60013,COM_STR-1002,24911,7,20250719,20250722,20250802,5794,1,5794
SO60013,COM_STR-1009,24911,7,20250719,20250722,20250802,8568,2,4284
SO60014,COM_LAP-1001,25526,5,20240203,20240210,20240215,90550,2,45275
