prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
741,ACC_CHG-1013,Belkin Charger Max,591,A,2025-10-04,
742,GAM_ACC-1016,SteelSeries Gaming Accessorie Pro,1460,G,2025-10-19,
743,ACC_CAB-1018,Generic Cable Ultra,,A,2025-10-13,
744,MOB_TAB-1010,Samsung Tablet Lite,12376,M,2025-10-25,
745,COM_DSK-1018,Custom Build Desktop Max,27503,C,2025-10-16,
746,DIS_TVS-1013,LG Television Lite,29917,D,2025-10-08,
747,ACC_PWB-1012,Baseus Power Bank Ultra,1750,A,2025-10-28,
748,MOB_TAB-1011,Huawei Tablet Pro,17565,M,2025-10-28,
749,GAM_CTR-1016,Razer Controller,2556,G,2025-10-14,
750,GAM_CON-1016,Sony Console Plus,9341,G,2025-10-06,
751,ACC_CHG-1014,Generic Charger Max,330,A,2025-10-04,
752,COM_GPU-1011,MSI Graphics Card,31243,C,2025-10-13,
753,GAM_CON-1017,Nintendo Console Max,12630,G,2025-10-06,
754,MOB_SWA-1018,Samsung Smartwatche,9155,M,2025-10-25,
755,GAM_ACC-1017,HyperX Gaming Accessorie Ultra,2943,G,2025-10-08,
756,COM_LAP-1013,HP Laptop Max,33856,C,2025-10-05,
757,MOB_SWA-1019,Apple Smartwatche Ultra,8895,M,2025-10-19,
758,ACC_CHG-1015,Generic Charger,811,A,2025-10-21,
759,GAM_CTR-1017,Microsoft Controller Plus,1179,G,2025-10-21,
760,GAM_CON-1018,Microsoft Console,9920,G,2025-10-03,
761,GAM_CON-1019,Microsoft Console Plus,,G,2025-10-27,
762,GAM_CON-1020,Sony Console Ultra,23159,G,2025-10-03,
763,ACC_PWB-1013,Xiaomi Power Bank Plus,468,A,2025-10-26,
764,COM_RAM-1015,G.Skill RAM Module,2448,C,2025-10-31,
765,MOB_TAB-1012,Huawei Tablet Pro,29073,M,2025-10-11,
801,GAM_ACC-1011,Razer Gaming Accessorie Ultra,1345,G,2025-10-21,
802,MOB_TAB-1006,Lenovo Tablet Ultra,7153,M,2025-10-25,
803,GAM_CTR-1007,Sony Controller Ultra,3441,G,2025-10-23,
804,GAM_ACC-1002,Logitech Gaming Accessorie Ultra,1087,G,2025-10-06,
805,COM_DSK-1012,HP Desktop Plus,53894,C,2025-10-03,
806,MOB_SWA-1004,Apple Smartwatche Max,13123,M,2025-10-31,
807,MOB_SWA-1014,Apple Smartwatche Ultra,5975,M,2025-10-10,
808,MOB_SMP-1007,Realme Smartphone Lite,9076,M,2025-10-26,
809,MOB_SMP-1005,Oppo Smartphone,42047,M,2025-10-02,
810,GAM_ACC-1020,Logitech Gaming Accessorie,2142,G,2025-10-10,
811,ACC_CAB-1014,Generic Cable Plus,269,A,2025-10-27,
812,DIS_TVS-1002,LG Television Max,16901,D,2025-10-09,
813,COM_STR-1004,WD Storage (SSD/HDD) Pro,3210,C,2025-10-21,
814,DIS_TVS-1007,Hisense Television Ultra,17689,D,2025-10-12,
815,COM_GPU-1012,MSI Graphics Card,26832,C,2025-10-02,
