sls_ord_num,sls_prd_key,sls_cust_id,sls_store_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO80063,ACC_CAS-1009,21275,1,20251209,20251219,20251229,661,1,661
SO80064,DIS_MON-1011,26909,1,20251231,20260104,20260120,30848,2,15424
SO80064,COM_DSK-1004,26909,1,20251231,20260104,20260120,25533,1,25533
SO80065,ACC_CAB-1019,22795,1,20251201,20251211,20251220,157,1,157
SO80066,DIS_MON-1007,23059,1,20251212,20251215,20251225,23600,2,11800
SO80066,COM_RAM-1012,23059,1,20251212,20251215,20251225,4592,1,4592
SO80067,DIS_TVS-1001,27385,3,20251210,20251220,20251224,11387,1,11387
SO80067,ACC_CAB-1019,27385,3,20251210,20251220,20251224,78,1,148
SO80067,COM_STR-1004,27385,3,20251210,20251220,20251224,8216,2,4038
SO80068,ACC_PWB-1009,24625,1,20251227,20251231,20260114,646,1,646
SO80068,GAM_CON-1003,24625,1,20251227,20251231,20260114,1286,1,1286
SO80069,MOB_SWA-1015,21319,6,20251216,20251219,20260101,14153,1,14153
SO80070,COM_LAP-1011,26158,5,20251202,20251210,20251220,106072,2,53036
SO80071,COM_GPU-1009,20155,2,20251221,20251229,20260102,15098,1,15098
SO80072,DIS_MON-1015,25102,1,20251223,20251229,20260103,1163,1,1163
SO80072,DIS_TVS-1008,25102,1,20251223,20251229,20260103,138520,2,69260
SO80072,COM_DSK-1019,25102,1,20251223,20251229,20260103,185382,2,92691
SO80072, COM_GPU-1001,25102,1,20251223,20251229,20260103,74272,2,37136
SO80072,ACC_CAB-1007,25102,1,20251223,20251229,20260103,686,2,343
SO80073,ACC_CAB-1008,22302,2,20251224,20251226,20260108,272,1,272
SO80073,ACC_CAB-1019,22302,2,20251224,20251226,20260108,138,1,138
SO80073,MOB_TAB-1009,22302,2,20251224,20251226,20260108,29901,1,29901
SO80073,GAM_CON-1003,22302,2,20251224,20251226,20260108,2682,2,1341
SO80073,COM_DSK-1005,22302,2,20251224,20251226,20260108,111657,3,37219
SO80073,ACC_PWB-1016,22302,2,20251224,20251226,20260108,3588,2,1794
SO80074,DIS_MON-1012,20803,5,20251223,20251225,20260107,9336,2,4668
SO80075,MOB_SMP-1010,23231,3,20251212,20251215,20251226,4336,1,4336
SO80076,DIS_MON-1001,22720,5,20251225,20260101,20260112,13030,1,13030
SO80077, GAM_CTR-1001,25684,2,20251228,20260101,20260107,3395,1,3395
SO80077,ACC_PWB-1014,25684,2,20251228,20260101,20260107,1207,1,1207
SO80077,ACC_PWB-1008,25684,2,20251228,20260101,20260107,3082,1,3082
SO80078,COM_DSK-1015,21876,2,20251225,20251228,20260113,37821,1,37821
SO80079,COM_LAP-1005,20772,4,20251225,20251229,20260105,195762,2,97881
SO80080, ACC_CAS-1003,25549,6,20251231,20260110,20260114,667,1,667
